model_index,max_depth,criterion,min_samples_leaf,accuracy,precision_class_1,precision_class_2,precision_class_3,precision_class_4,average precision,recall_class_1,recall_class_2,recall_class_3,recall_class_4,average recall,f_measure_class_1,f_measure_class_2,f_measure_class_3,f_measure_class_4,average f_measure
104,5,log_loss,9,0.8541666666666666,0.9180327868852459,0.8583333333333333,0.7796610169491526,0.0,0.6390067842919329,0.875,0.865546218487395,0.8214285714285714,0.0,0.6404936974789917,0.8959999999999999,0.8619246861924686,0.8,0,0.6394811715481172
105,5,log_loss,10,0.8541666666666666,0.9180327868852459,0.8583333333333333,0.7796610169491526,0.0,0.6390067842919329,0.875,0.865546218487395,0.8214285714285714,0.0,0.6404936974789917,0.8959999999999999,0.8619246861924686,0.8,0,0.6394811715481172
106,5,log_loss,11,0.8541666666666666,0.9180327868852459,0.8583333333333333,0.7796610169491526,0.0,0.6390067842919329,0.875,0.865546218487395,0.8214285714285714,0.0,0.6404936974789917,0.8959999999999999,0.8619246861924686,0.8,0,0.6394811715481172
107,5,log_loss,12,0.8375,0.9180327868852459,0.8188976377952756,0.7884615384615384,0.0,0.631347990785515,0.875,0.8739495798319328,0.7321428571428571,0.0,0.6202731092436975,0.8959999999999999,0.8455284552845529,0.7592592592592592,0,0.625196928635953
108,5,log_loss,13,0.8125,1.0,0.7622377622377622,0.7884615384615384,0.0,0.6376748251748251,0.703125,0.9159663865546218,0.7321428571428571,0.0,0.5878085609243697,0.8256880733944955,0.83206106870229,0.7592592592592592,0,0.6042521003390111
109,5,log_loss,14,0.8125,1.0,0.7622377622377622,0.7884615384615384,0.0,0.6376748251748251,0.703125,0.9159663865546218,0.7321428571428571,0.0,0.5878085609243697,0.8256880733944955,0.83206106870229,0.7592592592592592,0,0.6042521003390111
110,5,log_loss,15,0.8041666666666667,0.9782608695652174,0.7552447552447552,0.7843137254901961,0.0,0.6294548375750422,0.703125,0.907563025210084,0.7142857142857143,0.0,0.5812434348739496,0.8181818181818182,0.8244274809160305,0.7476635514018691,0,0.5975682126249294
111,5,log_loss,16,0.7916666666666666,0.8867924528301887,0.7573529411764706,0.7843137254901961,0.0,0.6071147798742138,0.734375,0.865546218487395,0.7142857142857143,0.0,0.5785517331932774,0.8034188034188035,0.807843137254902,0.7476635514018691,0,0.5897313730188937
112,5,log_loss,17,0.7916666666666666,0.8867924528301887,0.7573529411764706,0.7843137254901961,0.0,0.6071147798742138,0.734375,0.865546218487395,0.7142857142857143,0.0,0.5785517331932774,0.8034188034188035,0.807843137254902,0.7476635514018691,0,0.5897313730188937
113,5,log_loss,18,0.7916666666666666,0.8867924528301887,0.7573529411764706,0.7843137254901961,0.0,0.6071147798742138,0.734375,0.865546218487395,0.7142857142857143,0.0,0.5785517331932774,0.8034188034188035,0.807843137254902,0.7476635514018691,0,0.5897313730188937
114,5,log_loss,19,0.7791666666666667,0.8867924528301887,0.7410071942446043,0.7708333333333334,0.0,0.5996582451020316,0.734375,0.865546218487395,0.6607142857142857,0.0,0.5651588760504201,0.8034188034188035,0.7984496124031009,0.7115384615384616,0,0.5783517193400914
115,6,gini,1,0.8583333333333333,0.9272727272727272,0.8115942028985508,0.9148936170212766,0.0,0.6634401367981386,0.796875,0.9411764705882353,0.7678571428571429,0.0,0.6264771533613446,0.8571428571428571,0.8715953307392997,0.8349514563106796,0,0.6409224110482091
116,6,gini,2,0.8583333333333333,0.8983050847457628,0.8161764705882353,0.9333333333333333,0.0,0.6619537221668328,0.828125,0.9327731092436975,0.75,0.0,0.6277245273109244,0.8617886178861789,0.8705882352941177,0.8316831683168316,0,0.641015005374282
117,6,gini,3,0.8208333333333333,0.9038461538461539,0.7769784172661871,0.8571428571428571,0.0,0.6344918570637995,0.734375,0.907563025210084,0.75,0.0,0.597984506302521,0.810344827586207,0.8372093023255814,0.7999999999999999,0,0.6118885324779471
118,6,gini,4,0.8333333333333334,0.9019607843137255,0.7777777777777778,0.9333333333333333,0.0,0.6532679738562092,0.71875,0.9411764705882353,0.75,0.0,0.6024816176470589,0.8,0.8517110266159694,0.8316831683168316,0,0.6208485487332003
119,6,gini,5,0.8375,0.9038461538461539,0.7832167832167832,0.9333333333333333,0.0,0.6550990675990676,0.734375,0.9411764705882353,0.75,0.0,0.6063878676470589,0.810344827586207,0.8549618320610688,0.8316831683168316,0,0.6242474569910268
120,6,gini,6,0.8583333333333333,0.8983050847457628,0.8161764705882353,0.9333333333333333,0.0,0.6619537221668328,0.828125,0.9327731092436975,0.75,0.0,0.6277245273109244,0.8617886178861789,0.8705882352941177,0.8316831683168316,0,0.641015005374282
121,6,gini,7,0.825,0.92,0.7785714285714286,0.86,0.0,0.6396428571428572,0.71875,0.9159663865546218,0.7678571428571429,0.0,0.6006433823529411,0.8070175438596492,0.8416988416988417,0.8113207547169812,0,0.615009285068868
122,6,gini,8,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
123,6,gini,9,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
124,6,gini,10,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
125,6,gini,11,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
126,6,gini,12,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
127,6,gini,13,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
128,6,gini,14,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
129,6,gini,15,0.7916666666666666,0.9130434782608695,0.7364864864864865,0.8478260869565217,0.0,0.6243390129259694,0.65625,0.9159663865546218,0.6964285714285714,0.0,0.5671612394957983,0.7636363636363634,0.8164794007490637,0.7647058823529412,0,0.5862054116845921
130,6,gini,16,0.7916666666666666,0.9130434782608695,0.7364864864864865,0.8478260869565217,0.0,0.6243390129259694,0.65625,0.9159663865546218,0.6964285714285714,0.0,0.5671612394957983,0.7636363636363634,0.8164794007490637,0.7647058823529412,0,0.5862054116845921
131,6,gini,17,0.7875,0.9130434782608695,0.7315436241610739,0.8444444444444444,0.0,0.622257886716597,0.65625,0.9159663865546218,0.6785714285714286,0.0,0.5626969537815125,0.7636363636363634,0.8134328358208955,0.7524752475247526,0,0.5823861117455029
132,6,gini,18,0.7875,0.9130434782608695,0.7315436241610739,0.8444444444444444,0.0,0.622257886716597,0.65625,0.9159663865546218,0.6785714285714286,0.0,0.5626969537815125,0.7636363636363634,0.8134328358208955,0.7524752475247526,0,0.5823861117455029
133,6,gini,19,0.775,0.9130434782608695,0.7171052631578947,0.8333333333333334,0.0,0.6158705186880244,0.65625,0.9159663865546218,0.625,0.0,0.5493040966386554,0.7636363636363634,0.8044280442804428,0.7142857142857143,0,0.5705875305506302
134,6,entropy,1,0.9083333333333333,1.0,0.9024390243902439,0.8305084745762712,0.0,0.6832368747416288,0.90625,0.9327731092436975,0.875,0.0,0.6785057773109244,0.9508196721311475,0.9173553719008264,0.8521739130434782,0,0.680087239268863
135,6,entropy,2,0.9,0.9827586206896551,0.8870967741935484,0.8448275862068966,0.0,0.678670745272525,0.890625,0.9243697478991597,0.875,0.0,0.67249868697479,0.9344262295081966,0.9053497942386832,0.8596491228070176,0,0.6748562866384744
136,6,entropy,3,0.8916666666666667,0.9821428571428571,0.873015873015873,0.8448275862068966,0.0,0.6749965790914068,0.859375,0.9243697478991597,0.875,0.0,0.66468618697479,0.9166666666666665,0.8979591836734694,0.8596491228070176,0,0.6685687432867884
137,6,entropy,4,0.8916666666666667,0.9821428571428571,0.873015873015873,0.8448275862068966,0.0,0.6749965790914068,0.859375,0.9243697478991597,0.875,0.0,0.66468618697479,0.9166666666666665,0.8979591836734694,0.8596491228070176,0,0.6685687432867884
138,6,entropy,5,0.9041666666666667,0.9830508474576272,0.8943089430894309,0.8448275862068966,0.0,0.6805468441884887,0.90625,0.9243697478991597,0.875,0.0,0.67640493697479,0.943089430894309,0.9090909090909092,0.8596491228070176,0,0.6779573656980589
139,6,entropy,6,0.9041666666666667,0.9827586206896551,0.8943089430894309,0.847457627118644,0.0,0.6811312977244325,0.890625,0.9243697478991597,0.8928571428571429,0.0,0.6769629726890757,0.9344262295081966,0.9090909090909092,0.8695652173913044,0,0.6782705889976026
140,6,entropy,7,0.9,1.0,0.8943089430894309,0.819672131147541,0.0,0.6784952685592429,0.875,0.9243697478991597,0.8928571428571429,0.0,0.6730567226890757,0.9333333333333333,0.9090909090909092,0.8547008547008548,0,0.6742812742812743
141,6,entropy,8,0.8791666666666667,0.9824561403508771,0.8650793650793651,0.8070175438596491,0.0,0.6636382623224728,0.875,0.9159663865546218,0.8214285714285714,0.0,0.6530987394957983,0.9256198347107438,0.889795918367347,0.8141592920353982,0,0.6573937612783722
142,6,entropy,9,0.8625,0.9180327868852459,0.860655737704918,0.8070175438596491,0.0,0.6464265171124532,0.875,0.8823529411764706,0.8214285714285714,0.0,0.6446953781512605,0.8959999999999999,0.8713692946058091,0.8141592920353982,0,0.6453821466603018
143,6,entropy,10,0.8625,0.9180327868852459,0.860655737704918,0.8070175438596491,0.0,0.6464265171124532,0.875,0.8823529411764706,0.8214285714285714,0.0,0.6446953781512605,0.8959999999999999,0.8713692946058091,0.8141592920353982,0,0.6453821466603018
144,6,entropy,11,0.8625,0.9180327868852459,0.860655737704918,0.8070175438596491,0.0,0.6464265171124532,0.875,0.8823529411764706,0.8214285714285714,0.0,0.6446953781512605,0.8959999999999999,0.8713692946058091,0.8141592920353982,0,0.6453821466603018
145,6,entropy,12,0.8458333333333333,0.9180327868852459,0.8217054263565892,0.82,0.0,0.6399345533104588,0.875,0.8907563025210085,0.7321428571428571,0.0,0.6244747899159664,0.8959999999999999,0.8548387096774194,0.7735849056603773,0,0.6311059038344492
146,6,entropy,13,0.8208333333333333,1.0,0.7655172413793103,0.82,0.0,0.6463793103448275,0.703125,0.9327731092436975,0.7321428571428571,0.0,0.5920102415966386,0.8256880733944955,0.8409090909090909,0.7735849056603773,0,0.6100455174909909
147,6,entropy,14,0.8208333333333333,1.0,0.7655172413793103,0.82,0.0,0.6463793103448275,0.703125,0.9327731092436975,0.7321428571428571,0.0,0.5920102415966386,0.8256880733944955,0.8409090909090909,0.7735849056603773,0,0.6100455174909909
148,6,entropy,15,0.8125,0.9782608695652174,0.7586206896551724,0.8163265306122449,0.0,0.6383020224581587,0.703125,0.9243697478991597,0.7142857142857143,0.0,0.5854451155462185,0.8181818181818182,0.8333333333333333,0.7619047619047619,0,0.6033549783549783
149,6,entropy,16,0.7958333333333333,0.8867924528301887,0.7553956834532374,0.8125,0.0,0.6136720340708566,0.734375,0.8823529411764706,0.6964285714285714,0.0,0.5782891281512605,0.8034188034188035,0.813953488372093,0.75,0,0.5918430729477241
150,6,entropy,17,0.7875,0.8867924528301887,0.7446808510638298,0.8043478260869565,0.0,0.6089552824952438,0.734375,0.8823529411764706,0.6607142857142857,0.0,0.569360556722689,0.8034188034188035,0.8076923076923076,0.7254901960784315,0,0.5841503267973857
151,6,entropy,18,0.7875,0.8867924528301887,0.7446808510638298,0.8043478260869565,0.0,0.6089552824952438,0.734375,0.8823529411764706,0.6607142857142857,0.0,0.569360556722689,0.8034188034188035,0.8076923076923076,0.7254901960784315,0,0.5841503267973857
152,6,entropy,19,0.775,0.8867924528301887,0.7291666666666666,0.7906976744186046,0.0,0.601664198478865,0.734375,0.8823529411764706,0.6071428571428571,0.0,0.5559676995798319,0.8034188034188035,0.7984790874524715,0.6868686868686869,0,0.5721916444349905
153,6,log_loss,1,0.9083333333333333,1.0,0.9024390243902439,0.8305084745762712,0.0,0.6832368747416288,0.90625,0.9327731092436975,0.875,0.0,0.6785057773109244,0.9508196721311475,0.9173553719008264,0.8521739130434782,0,0.680087239268863
154,6,log_loss,2,0.9083333333333333,1.0,0.8951612903225806,0.8448275862068966,0.0,0.6849972191323692,0.90625,0.9327731092436975,0.875,0.0,0.6785057773109244,0.9508196721311475,0.9135802469135801,0.8596491228070176,0,0.6810122604629363
155,6,log_loss,3,0.9,1.0,0.8809523809523809,0.8448275862068966,0.0,0.6814449917898193,0.875,0.9327731092436975,0.875,0.0,0.6706932773109244,0.9333333333333333,0.9061224489795918,0.8596491228070176,0,0.6747762262799857
156,6,log_loss,4,0.9041666666666667,1.0,0.888,0.8448275862068966,0.0,0.6832068965517242,0.890625,0.9327731092436975,0.875,0.0,0.6745995273109244,0.9421487603305785,0.9098360655737705,0.8596491228070176,0,0.6779084871778416
157,6,log_loss,5,0.9041666666666667,0.9830508474576272,0.8943089430894309,0.8448275862068966,0.0,0.6805468441884887,0.90625,0.9243697478991597,0.875,0.0,0.67640493697479,0.943089430894309,0.9090909090909092,0.8596491228070176,0,0.6779573656980589
158,6,log_loss,6,0.9041666666666667,0.9827586206896551,0.8943089430894309,0.847457627118644,0.0,0.6811312977244325,0.890625,0.9243697478991597,0.8928571428571429,0.0,0.6769629726890757,0.9344262295081966,0.9090909090909092,0.8695652173913044,0,0.6782705889976026
159,6,log_loss,7,0.9,1.0,0.8943089430894309,0.819672131147541,0.0,0.6784952685592429,0.875,0.9243697478991597,0.8928571428571429,0.0,0.6730567226890757,0.9333333333333333,0.9090909090909092,0.8547008547008548,0,0.6742812742812743
160,6,log_loss,8,0.8791666666666667,0.9824561403508771,0.8650793650793651,0.8070175438596491,0.0,0.6636382623224728,0.875,0.9159663865546218,0.8214285714285714,0.0,0.6530987394957983,0.9256198347107438,0.889795918367347,0.8141592920353982,0,0.6573937612783722
161,6,log_loss,9,0.8625,0.9180327868852459,0.860655737704918,0.8070175438596491,0.0,0.6464265171124532,0.875,0.8823529411764706,0.8214285714285714,0.0,0.6446953781512605,0.8959999999999999,0.8713692946058091,0.8141592920353982,0,0.6453821466603018
162,6,log_loss,10,0.8625,0.9180327868852459,0.860655737704918,0.8070175438596491,0.0,0.6464265171124532,0.875,0.8823529411764706,0.8214285714285714,0.0,0.6446953781512605,0.8959999999999999,0.8713692946058091,0.8141592920353982,0,0.6453821466603018
163,6,log_loss,11,0.8625,0.9180327868852459,0.860655737704918,0.8070175438596491,0.0,0.6464265171124532,0.875,0.8823529411764706,0.8214285714285714,0.0,0.6446953781512605,0.8959999999999999,0.8713692946058091,0.8141592920353982,0,0.6453821466603018
164,6,log_loss,12,0.8458333333333333,0.9180327868852459,0.8217054263565892,0.82,0.0,0.6399345533104588,0.875,0.8907563025210085,0.7321428571428571,0.0,0.6244747899159664,0.8959999999999999,0.8548387096774194,0.7735849056603773,0,0.6311059038344492
165,6,log_loss,13,0.8208333333333333,1.0,0.7655172413793103,0.82,0.0,0.6463793103448275,0.703125,0.9327731092436975,0.7321428571428571,0.0,0.5920102415966386,0.8256880733944955,0.8409090909090909,0.7735849056603773,0,0.6100455174909909
166,6,log_loss,14,0.8208333333333333,1.0,0.7655172413793103,0.82,0.0,0.6463793103448275,0.703125,0.9327731092436975,0.7321428571428571,0.0,0.5920102415966386,0.8256880733944955,0.8409090909090909,0.7735849056603773,0,0.6100455174909909
167,6,log_loss,15,0.8125,0.9782608695652174,0.7586206896551724,0.8163265306122449,0.0,0.6383020224581587,0.703125,0.9243697478991597,0.7142857142857143,0.0,0.5854451155462185,0.8181818181818182,0.8333333333333333,0.7619047619047619,0,0.6033549783549783
168,6,log_loss,16,0.7958333333333333,0.8867924528301887,0.7553956834532374,0.8125,0.0,0.6136720340708566,0.734375,0.8823529411764706,0.6964285714285714,0.0,0.5782891281512605,0.8034188034188035,0.813953488372093,0.75,0,0.5918430729477241
169,6,log_loss,17,0.7875,0.8867924528301887,0.7446808510638298,0.8043478260869565,0.0,0.6089552824952438,0.734375,0.8823529411764706,0.6607142857142857,0.0,0.569360556722689,0.8034188034188035,0.8076923076923076,0.7254901960784315,0,0.5841503267973857
170,6,log_loss,18,0.7875,0.8867924528301887,0.7446808510638298,0.8043478260869565,0.0,0.6089552824952438,0.734375,0.8823529411764706,0.6607142857142857,0.0,0.569360556722689,0.8034188034188035,0.8076923076923076,0.7254901960784315,0,0.5841503267973857
171,6,log_loss,19,0.775,0.8867924528301887,0.7291666666666666,0.7906976744186046,0.0,0.601664198478865,0.734375,0.8823529411764706,0.6071428571428571,0.0,0.5559676995798319,0.8034188034188035,0.7984790874524715,0.6868686868686869,0,0.5721916444349905
172,7,gini,1,0.8708333333333333,0.9298245614035088,0.835820895522388,0.8979591836734694,0.0,0.6659011601498416,0.828125,0.9411764705882353,0.7857142857142857,0.0,0.6387539390756303,0.8760330578512396,0.8853754940711462,0.838095238095238,0,0.649875947504406
173,7,gini,2,0.8541666666666666,0.9107142857142857,0.8102189781021898,0.9148936170212766,0.0,0.658956720209438,0.796875,0.9327731092436975,0.7678571428571429,0.0,0.6243763130252101,0.85,0.8671875,0.8349514563106796,0,0.6380347390776699
174,7,gini,3,0.825,0.9215686274509803,0.782608695652174,0.8431372549019608,0.0,0.6368286445012787,0.734375,0.907563025210084,0.7678571428571429,0.0,0.6024487920168067,0.8173913043478261,0.840466926070039,0.8037383177570093,0,0.6153991370437186
175,7,gini,4,0.8375,0.8888888888888888,0.7913669064748201,0.9148936170212766,0.0,0.6487873530962464,0.75,0.9243697478991597,0.7678571428571429,0.0,0.6105567226890757,0.8135593220338982,0.8527131782945736,0.8349514563106796,0,0.6253059891597879
176,7,gini,5,0.8375,0.9038461538461539,0.7872340425531915,0.9148936170212766,0.0,0.6514934533551555,0.734375,0.9327731092436975,0.7678571428571429,0.0,0.6087513130252101,0.810344827586207,0.8538461538461538,0.8349514563106796,0,0.6247856094357601
177,7,gini,6,0.8583333333333333,0.8983050847457628,0.8161764705882353,0.9333333333333333,0.0,0.6619537221668328,0.828125,0.9327731092436975,0.75,0.0,0.6277245273109244,0.8617886178861789,0.8705882352941177,0.8316831683168316,0,0.641015005374282
178,7,gini,7,0.825,0.92,0.7785714285714286,0.86,0.0,0.6396428571428572,0.71875,0.9159663865546218,0.7678571428571429,0.0,0.6006433823529411,0.8070175438596492,0.8416988416988417,0.8113207547169812,0,0.615009285068868
