model_index,random_state,max_depth,criterion,min_samples_leaf,accuracy,precision_class_1,precision_class_2,precision_class_3,precision_class_4,average precision,recall_class_1,recall_class_2,recall_class_3,recall_class_4,average recall,f_measure_class_1,f_measure_class_2,f_measure_class_3,f_measure_class_4,average f_measure
2888,19,6,entropy,19,0.8083333333333333,0.75,0.875,0.7166666666666667,0.0,0.5854166666666667,0.8125,0.8057553956834532,0.8269230769230769,0.0,0.6112946181516326,0.78,0.8389513108614233,0.7678571428571429,0,0.5967021134296415
2889,19,6,log_loss,1,0.8458333333333333,0.8301886792452831,0.9401709401709402,0.7,0.0,0.6175899048540558,0.9166666666666666,0.7913669064748201,0.9423076923076923,0.0,0.6625853163622948,0.8712871287128713,0.8593749999999999,0.8032786885245902,0,0.6334852043093653
2890,19,6,log_loss,2,0.8458333333333333,0.8035714285714286,0.9478260869565217,0.7101449275362319,0.0,0.6153856107660456,0.9375,0.7841726618705036,0.9423076923076923,0.0,0.6659950885445489,0.8653846153846154,0.8582677165354331,0.8099173553719008,0,0.6333924218229874
2891,19,6,log_loss,3,0.8458333333333333,0.84,0.9256198347107438,0.7101449275362319,0.0,0.6189411905617439,0.875,0.8057553956834532,0.9423076923076923,0.0,0.6557657719977863,0.8571428571428572,0.8615384615384616,0.8099173553719008,0,0.6321496685133049
2892,19,6,log_loss,4,0.85,0.8723404255319149,0.9193548387096774,0.7101449275362319,0.0,0.6254600479444561,0.8541666666666666,0.8201438848920863,0.9423076923076923,0.0,0.6541545609666113,0.8631578947368421,0.8669201520912547,0.8099173553719008,0,0.6349988505499994
2893,19,6,log_loss,5,0.8416666666666667,0.8235294117647058,0.925,0.7101449275362319,0.0,0.6146685848252345,0.875,0.7985611510791367,0.9423076923076923,0.0,0.6539672108467072,0.8484848484848485,0.8571428571428571,0.8099173553719008,0,0.6288862652499017
2894,19,6,log_loss,6,0.8208333333333333,0.7777777777777778,0.9217391304347826,0.6901408450704225,0.0,0.5974144383207457,0.875,0.762589928057554,0.9423076923076923,0.0,0.6449744050913115,0.823529411764706,0.8346456692913385,0.7967479674796748,0,0.6137307621339299
2895,19,6,log_loss,7,0.8125,0.7735849056603774,0.9130434782608695,0.6805555555555556,0.0,0.5917959848692007,0.8541666666666666,0.7553956834532374,0.9423076923076923,0.0,0.6379675106068992,0.811881188118812,0.8267716535433072,0.7903225806451614,0,0.6072438555768201
2896,19,6,log_loss,8,0.8125,0.7735849056603774,0.9130434782608695,0.6805555555555556,0.0,0.5917959848692007,0.8541666666666666,0.7553956834532374,0.9423076923076923,0.0,0.6379675106068992,0.811881188118812,0.8267716535433072,0.7903225806451614,0,0.6072438555768201
2897,19,6,log_loss,9,0.8125,0.7735849056603774,0.9130434782608695,0.6805555555555556,0.0,0.5917959848692007,0.8541666666666666,0.7553956834532374,0.9423076923076923,0.0,0.6379675106068992,0.811881188118812,0.8267716535433072,0.7903225806451614,0,0.6072438555768201
2898,19,6,log_loss,10,0.8208333333333333,0.7735849056603774,0.9008264462809917,0.7121212121212122,0.0,0.5966331410156454,0.8541666666666666,0.7841726618705036,0.9038461538461539,0.0,0.635546370595831,0.811881188118812,0.8384615384615385,0.7966101694915254,0,0.611738224017969
2899,19,6,log_loss,11,0.8291666666666667,0.8297872340425532,0.889763779527559,0.7121212121212122,0.0,0.607918056422831,0.8125,0.8129496402877698,0.9038461538461539,0.0,0.632323948533481,0.8210526315789474,0.849624060150376,0.7966101694915254,0,0.6168217153052122
2900,19,6,log_loss,12,0.8208333333333333,0.8297872340425532,0.9098360655737705,0.6619718309859155,0.0,0.6003987826505598,0.8125,0.7985611510791367,0.9038461538461539,0.0,0.6287268262313226,0.8210526315789474,0.8505747126436781,0.7642276422764228,0,0.608963746624762
2901,19,6,log_loss,13,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2902,19,6,log_loss,14,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2903,19,6,log_loss,15,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2904,19,6,log_loss,16,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2905,19,6,log_loss,17,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2906,19,6,log_loss,18,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2907,19,6,log_loss,19,0.8083333333333333,0.75,0.875,0.7166666666666667,0.0,0.5854166666666667,0.8125,0.8057553956834532,0.8269230769230769,0.0,0.6112946181516326,0.78,0.8389513108614233,0.7678571428571429,0,0.5967021134296415
2908,19,7,gini,1,0.8458333333333333,0.7962962962962963,0.9256198347107438,0.7384615384615385,0.0,0.6150944173671447,0.8958333333333334,0.8057553956834532,0.9230769230769231,0.0,0.6561664130234275,0.8431372549019608,0.8615384615384616,0.8205128205128206,0,0.6312971342383108
2909,19,7,gini,2,0.8666666666666667,0.8,0.921875,0.8070175438596491,0.0,0.6322231359649123,0.9166666666666666,0.8489208633093526,0.8846153846153846,0.0,0.6625507286478509,0.854368932038835,0.8838951310861424,0.8440366972477065,0,0.645575190093171
2910,19,7,gini,3,0.8583333333333333,0.7818181818181819,0.9274193548387096,0.7868852459016393,0.0,0.6240306956396326,0.8958333333333334,0.8273381294964028,0.9230769230769231,0.0,0.6615620964766649,0.8349514563106797,0.8745247148288973,0.8495575221238939,0,0.6397584233158677
2911,19,7,gini,4,0.8458333333333333,0.7818181818181819,0.912,0.7666666666666667,0.0,0.6151212121212122,0.8958333333333334,0.8201438848920863,0.8846153846153846,0.0,0.650148150710201,0.8349514563106797,0.8636363636363636,0.8214285714285715,0,0.6300040978439038
2912,19,7,gini,5,0.8458333333333333,0.803921568627451,0.8992248062015504,0.7666666666666667,0.0,0.617453260373917,0.8541666666666666,0.8345323741007195,0.8846153846153846,0.0,0.6433286063456927,0.8282828282828283,0.8656716417910448,0.8214285714285715,0,0.6288457603756111
2913,19,7,gini,6,0.8416666666666667,0.803921568627451,0.8984375,0.7540983606557377,0.0,0.6141143573207972,0.8541666666666666,0.8273381294964028,0.8846153846153846,0.0,0.6415300451946135,0.8282828282828283,0.8614232209737828,0.8141592920353982,0,0.6259663353230023
2914,19,7,gini,7,0.8375,0.803921568627451,0.9105691056910569,0.7272727272727273,0.0,0.6104408503978087,0.8541666666666666,0.8057553956834532,0.9230769230769231,0.0,0.6457497463567607,0.8282828282828283,0.8549618320610686,0.8135593220338984,0,0.6242009955944487
2915,19,7,gini,8,0.8416666666666667,0.8269230769230769,0.9112903225806451,0.71875,0.0,0.6142408498759305,0.8958333333333334,0.8129496402877698,0.8846153846153846,0.0,0.6483495895591219,0.86,0.8593155893536121,0.7931034482758621,0,0.6281047594073685
2916,19,7,gini,9,0.8416666666666667,0.8541666666666666,0.8984375,0.71875,0.0,0.6178385416666666,0.8541666666666666,0.8273381294964028,0.8846153846153846,0.0,0.6415300451946135,0.8541666666666666,0.8614232209737828,0.7931034482758621,0,0.6271733339790779
2917,19,7,gini,10,0.85,0.8695652173913043,0.8714285714285714,0.7777777777777778,0.0,0.6296928916494133,0.8333333333333334,0.8776978417266187,0.8076923076923077,0.0,0.629680870688065,0.851063829787234,0.8745519713261649,0.7924528301886792,0,0.6295171578255195
2918,19,7,gini,11,0.8291666666666667,0.7843137254901961,0.8666666666666667,0.7777777777777778,0.0,0.6071895424836601,0.8333333333333334,0.841726618705036,0.8076923076923077,0.0,0.6206880649326693,0.8080808080808081,0.8540145985401459,0.7924528301886792,0,0.6136370592024083
2919,19,7,gini,12,0.8291666666666667,0.7843137254901961,0.8666666666666667,0.7777777777777778,0.0,0.6071895424836601,0.8333333333333334,0.841726618705036,0.8076923076923077,0.0,0.6206880649326693,0.8080808080808081,0.8540145985401459,0.7924528301886792,0,0.6136370592024083
2920,19,7,gini,13,0.8291666666666667,0.7843137254901961,0.8666666666666667,0.7777777777777778,0.0,0.6071895424836601,0.8333333333333334,0.841726618705036,0.8076923076923077,0.0,0.6206880649326693,0.8080808080808081,0.8540145985401459,0.7924528301886792,0,0.6136370592024083
2921,19,7,gini,14,0.8291666666666667,0.7843137254901961,0.8666666666666667,0.7777777777777778,0.0,0.6071895424836601,0.8333333333333334,0.841726618705036,0.8076923076923077,0.0,0.6206880649326693,0.8080808080808081,0.8540145985401459,0.7924528301886792,0,0.6136370592024083
2922,19,7,gini,15,0.8291666666666667,0.7843137254901961,0.8666666666666667,0.7777777777777778,0.0,0.6071895424836601,0.8333333333333334,0.841726618705036,0.8076923076923077,0.0,0.6206880649326693,0.8080808080808081,0.8540145985401459,0.7924528301886792,0,0.6136370592024083
2923,19,7,gini,16,0.8333333333333334,0.7884615384615384,0.8731343283582089,0.7777777777777778,0.0,0.6098434111493812,0.8541666666666666,0.841726618705036,0.8076923076923077,0.0,0.6258963982660026,0.8200000000000001,0.8571428571428571,0.7924528301886792,0,0.617398921832884
2924,19,7,gini,17,0.8333333333333334,0.7884615384615384,0.8731343283582089,0.7777777777777778,0.0,0.6098434111493812,0.8541666666666666,0.841726618705036,0.8076923076923077,0.0,0.6258963982660026,0.8200000000000001,0.8571428571428571,0.7924528301886792,0,0.617398921832884
2925,19,7,gini,18,0.8333333333333334,0.7884615384615384,0.8731343283582089,0.7777777777777778,0.0,0.6098434111493812,0.8541666666666666,0.841726618705036,0.8076923076923077,0.0,0.6258963982660026,0.8200000000000001,0.8571428571428571,0.7924528301886792,0,0.617398921832884
2926,19,7,gini,19,0.8208333333333333,0.8,0.8439716312056738,0.7777777777777778,0.0,0.6054373522458629,0.75,0.8561151079136691,0.8076923076923077,0.0,0.6034518539014941,0.7741935483870969,0.85,0.7924528301886792,0,0.604161594643944
2927,19,7,entropy,1,0.8541666666666666,0.875,0.8947368421052632,0.7457627118644068,0.0,0.6288748884924176,0.875,0.8561151079136691,0.8461538461538461,0.0,0.6443172385168788,0.875,0.8749999999999999,0.7927927927927929,0,0.6356981981981982
2928,19,7,entropy,2,0.8625,0.8301886792452831,0.9083969465648855,0.7857142857142857,0.0,0.6310749778811136,0.9166666666666666,0.8561151079136691,0.8461538461538461,0.0,0.6547339051835455,0.8712871287128713,0.8814814814814815,0.8148148148148148,0,0.641895856252292
2929,19,7,entropy,3,0.8583333333333333,0.84,0.8955223880597015,0.7857142857142857,0.0,0.6303091684434968,0.875,0.8633093525179856,0.8461538461538461,0.0,0.646115799667958,0.8571428571428572,0.8791208791208792,0.8148148148148148,0,0.6377696377696378
2930,19,7,entropy,4,0.8625,0.8723404255319149,0.8794326241134752,0.8076923076923077,0.0,0.6398663393344244,0.8541666666666666,0.8920863309352518,0.8076923076923077,0.0,0.6384863263235565,0.8631578947368421,0.8857142857142858,0.8076923076923077,0,0.6391411220358589
2931,19,7,entropy,5,0.8541666666666666,0.8235294117647058,0.8832116788321168,0.8076923076923077,0.0,0.6286083495722825,0.875,0.8705035971223022,0.8076923076923077,0.0,0.6382989762036524,0.8484848484848485,0.8768115942028986,0.8076923076923077,0,0.6332471875950136
2932,19,7,entropy,6,0.8333333333333334,0.7777777777777778,0.8787878787878788,0.7777777777777778,0.0,0.6085858585858586,0.875,0.8345323741007195,0.8076923076923077,0.0,0.6293061704482568,0.823529411764706,0.8560885608856089,0.7924528301886792,0,0.6180177007097485
2933,19,7,entropy,7,0.825,0.7735849056603774,0.8712121212121212,0.7636363636363637,0.0,0.6021083476272155,0.8541666666666666,0.8273381294964028,0.8076923076923077,0.0,0.6222992759638444,0.811881188118812,0.8487084870848707,0.7850467289719626,0,0.6114091010439113
2934,19,7,entropy,8,0.825,0.7735849056603774,0.8712121212121212,0.7636363636363637,0.0,0.6021083476272155,0.8541666666666666,0.8273381294964028,0.8076923076923077,0.0,0.6222992759638444,0.811881188118812,0.8487084870848707,0.7850467289719626,0,0.6114091010439113
2935,19,7,entropy,9,0.8291666666666667,0.7735849056603774,0.8666666666666667,0.7884615384615384,0.0,0.6071782776971456,0.8541666666666666,0.841726618705036,0.7884615384615384,0.0,0.6210887059583102,0.811881188118812,0.8540145985401459,0.7884615384615384,0,0.613589331280124
2936,19,7,entropy,10,0.8458333333333333,0.7735849056603774,0.8652482269503546,0.8695652173913043,0.0,0.6270995875005091,0.8541666666666666,0.8776978417266187,0.7692307692307693,0.0,0.6252738194060137,0.811881188118812,0.8714285714285713,0.8163265306122449,0,0.6249090725399071
2937,19,7,entropy,11,0.8291666666666667,0.8297872340425532,0.889763779527559,0.7121212121212122,0.0,0.607918056422831,0.8125,0.8129496402877698,0.9038461538461539,0.0,0.632323948533481,0.8210526315789474,0.849624060150376,0.7966101694915254,0,0.6168217153052122
2938,19,7,entropy,12,0.8208333333333333,0.8297872340425532,0.9098360655737705,0.6619718309859155,0.0,0.6003987826505598,0.8125,0.7985611510791367,0.9038461538461539,0.0,0.6287268262313226,0.8210526315789474,0.8505747126436781,0.7642276422764228,0,0.608963746624762
2939,19,7,entropy,13,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2940,19,7,entropy,14,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2941,19,7,entropy,15,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2942,19,7,entropy,16,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2943,19,7,entropy,17,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2944,19,7,entropy,18,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2945,19,7,entropy,19,0.8083333333333333,0.75,0.875,0.7166666666666667,0.0,0.5854166666666667,0.8125,0.8057553956834532,0.8269230769230769,0.0,0.6112946181516326,0.78,0.8389513108614233,0.7678571428571429,0,0.5967021134296415
2946,19,7,log_loss,1,0.8583333333333333,0.8775510204081632,0.9015151515151515,0.7457627118644068,0.0,0.6312072209469304,0.8958333333333334,0.8561151079136691,0.8461538461538461,0.0,0.6495255718502122,0.8865979381443299,0.8782287822878229,0.7927927927927929,0,0.6394048783062365
2947,19,7,log_loss,2,0.8625,0.8301886792452831,0.9083969465648855,0.7857142857142857,0.0,0.6310749778811136,0.9166666666666666,0.8561151079136691,0.8461538461538461,0.0,0.6547339051835455,0.8712871287128713,0.8814814814814815,0.8148148148148148,0,0.641895856252292
2948,19,7,log_loss,3,0.8583333333333333,0.84,0.8955223880597015,0.7857142857142857,0.0,0.6303091684434968,0.875,0.8633093525179856,0.8461538461538461,0.0,0.646115799667958,0.8571428571428572,0.8791208791208792,0.8148148148148148,0,0.6377696377696378
2949,19,7,log_loss,4,0.8625,0.8723404255319149,0.8794326241134752,0.8076923076923077,0.0,0.6398663393344244,0.8541666666666666,0.8920863309352518,0.8076923076923077,0.0,0.6384863263235565,0.8631578947368421,0.8857142857142858,0.8076923076923077,0,0.6391411220358589
2950,19,7,log_loss,5,0.8541666666666666,0.8235294117647058,0.8832116788321168,0.8076923076923077,0.0,0.6286083495722825,0.875,0.8705035971223022,0.8076923076923077,0.0,0.6382989762036524,0.8484848484848485,0.8768115942028986,0.8076923076923077,0,0.6332471875950136
2951,19,7,log_loss,6,0.8333333333333334,0.7678571428571429,0.8846153846153846,0.7777777777777778,0.0,0.6075625763125763,0.8958333333333334,0.8273381294964028,0.8076923076923077,0.0,0.6327159426305109,0.8269230769230769,0.8550185873605948,0.7924528301886792,0,0.6185986236180877
2952,19,7,log_loss,7,0.825,0.7735849056603774,0.8712121212121212,0.7636363636363637,0.0,0.6021083476272155,0.8541666666666666,0.8273381294964028,0.8076923076923077,0.0,0.6222992759638444,0.811881188118812,0.8487084870848707,0.7850467289719626,0,0.6114091010439113
2953,19,7,log_loss,8,0.825,0.7735849056603774,0.8712121212121212,0.7636363636363637,0.0,0.6021083476272155,0.8541666666666666,0.8273381294964028,0.8076923076923077,0.0,0.6222992759638444,0.811881188118812,0.8487084870848707,0.7850467289719626,0,0.6114091010439113
2954,19,7,log_loss,9,0.8291666666666667,0.7735849056603774,0.8666666666666667,0.7884615384615384,0.0,0.6071782776971456,0.8541666666666666,0.841726618705036,0.7884615384615384,0.0,0.6210887059583102,0.811881188118812,0.8540145985401459,0.7884615384615384,0,0.613589331280124
2955,19,7,log_loss,10,0.8375,0.7735849056603774,0.8531468531468531,0.8636363636363636,0.0,0.6225920306108985,0.8541666666666666,0.8776978417266187,0.7307692307692307,0.0,0.615658434790629,0.811881188118812,0.8652482269503545,0.7916666666666666,0,0.6171990204339582
2956,19,7,log_loss,11,0.8291666666666667,0.8297872340425532,0.889763779527559,0.7121212121212122,0.0,0.607918056422831,0.8125,0.8129496402877698,0.9038461538461539,0.0,0.632323948533481,0.8210526315789474,0.849624060150376,0.7966101694915254,0,0.6168217153052122
2957,19,7,log_loss,12,0.8208333333333333,0.8297872340425532,0.9098360655737705,0.6619718309859155,0.0,0.6003987826505598,0.8125,0.7985611510791367,0.9038461538461539,0.0,0.6287268262313226,0.8210526315789474,0.8505747126436781,0.7642276422764228,0,0.608963746624762
2958,19,7,log_loss,13,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2959,19,7,log_loss,14,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2960,19,7,log_loss,15,0.8,0.75,0.905982905982906,0.6619718309859155,0.0,0.5794886842422053,0.8125,0.762589928057554,0.9038461538461539,0.0,0.619734020475927,0.78,0.828125,0.7642276422764228,0,0.5930881605691057
2961,19,7,log_loss,16,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2962,19,7,log_loss,17,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2963,19,7,log_loss,18,0.8041666666666667,0.75,0.9067796610169492,0.6714285714285714,0.0,0.5820520581113802,0.8125,0.7697841726618705,0.9038461538461539,0.0,0.6215325816270061,0.78,0.8326848249027239,0.7704918032786885,0,0.5957941570453531
2964,19,7,log_loss,19,0.8083333333333333,0.75,0.875,0.7166666666666667,0.0,0.5854166666666667,0.8125,0.8057553956834532,0.8269230769230769,0.0,0.6112946181516326,0.78,0.8389513108614233,0.7678571428571429,0,0.5967021134296415
2965,19,8,gini,1,0.875,0.86,0.9296875,0.7741935483870968,0.0,0.6409702620967741,0.8958333333333334,0.8561151079136691,0.9230769230769231,0.0,0.6687563410809814,0.8775510204081632,0.8913857677902621,0.8421052631578947,0,0.65276051283908
2966,19,8,gini,2,0.8791666666666667,0.8627450980392157,0.9172932330827067,0.8035714285714286,0.0,0.6459024399233377,0.9166666666666666,0.8776978417266187,0.8653846153846154,0.0,0.6649372809444751,0.888888888888889,0.8970588235294117,0.8333333333333334,0,0.6548202614379085
2967,19,8,gini,3,0.8791666666666667,0.86,0.9302325581395349,0.7868852459016393,0.0,0.6442794510102936,0.8958333333333334,0.8633093525179856,0.9230769230769231,0.0,0.6705549022320605,0.8775510204081632,0.8955223880597015,0.8495575221238939,0,0.6556577326479397
2968,19,8,gini,4,0.8458333333333333,0.7818181818181819,0.912,0.7666666666666667,0.0,0.6151212121212122,0.8958333333333334,0.8201438848920863,0.8846153846153846,0.0,0.650148150710201,0.8349514563106797,0.8636363636363636,0.8214285714285715,0,0.6300040978439038
2969,19,8,gini,5,0.8458333333333333,0.803921568627451,0.8992248062015504,0.7666666666666667,0.0,0.617453260373917,0.8541666666666666,0.8345323741007195,0.8846153846153846,0.0,0.6433286063456927,0.8282828282828283,0.8656716417910448,0.8214285714285715,0,0.6288457603756111
2970,19,8,gini,6,0.85,0.803921568627451,0.8939393939393939,0.7894736842105263,0.0,0.6218336616943427,0.8541666666666666,0.8489208633093526,0.8653846153846154,0.0,0.6421180363401586,0.8282828282828283,0.8708487084870848,0.8256880733944955,0,0.6312049025411022
